#Desig,TaxClass,YmJ,YmH,YmK,JmH,JmK,HmK
1,C,0.2005,0.4826,0.5885,0.2821,0.3880,0.1069
2,B,0.1733,0.4121,0.4665,0.2389,0.2932,0.0554
3,Sq,0.3552,0.6826,0.7444,0.3274,0.3892,0.0628
4,V,0.4700,0.6277,0.5913,0.1577,0.1213,-0.0354
5,S,0.3562,0.6463,0.6772,0.2901,0.3210,0.0319
7,S,0.3299,0.6649,0.7297,0.3350,0.3998,0.0658
8,S,0.3703,0.7451,0.8221,0.3749,0.4518,0.0779
10,C,0.2391,0.5848,0.7533,0.3457,0.5142,0.1694
11,Sq,0.3254,0.6881,0.8043,0.3627,0.4789,0.1172
13,Ch,0.2543,0.5532,0.6334,0.2990,0.3791,0.0812
14,S,0.3252,0.6285,0.7051,0.3034,0.3800,0.0776
15,K,0.3004,0.6551,0.7379,0.3546,0.4374,0.0838
16,Xk,0.2965,0.6204,0.7741,0.3239,0.4776,0.1547
17,S,0.3448,0.6417,0.7058,0.2969,0.3610,0.0651
18,S,0.3181,0.6156,0.6784,0.2975,0.3603,0.0638
19,Ch,0.2710,0.6155,0.7649,0.3445,0.4939,0.1504
20,S,0.3158,0.5859,0.6410,0.2701,0.3252,0.0561
21,Xc,0.2478,0.5195,0.5944,0.2717,0.3466,0.0759
22,X,0.2727,0.6356,0.8221,0.3629,0.5494,0.1874
24,C,0.2061,0.4984,0.6783,0.2924,0.4723,0.1809
25,S,0.3853,0.7454,0.7802,0.3601,0.3949,0.0358
26,S,0.3614,0.7207,0.7680,0.3592,0.4066,0.0484
27,S,0.3823,0.7457,0.7965,0.3634,0.4141,0.0517
28,S,0.3307,0.6224,0.6620,0.2917,0.3313,0.0406
29,S,0.3191,0.6437,0.7237,0.3246,0.4046,0.0810
30,S,0.3470,0.6753,0.7355,0.3283,0.3886,0.0612
32,S,0.3773,0.7038,0.7927,0.3264,0.4153,0.0899
33,S,0.3450,0.6039,0.6452,0.2589,0.3002,0.0423
34,Ch,0.2613,0.5332,0.6187,0.2719,0.3573,0.0865
37,S,0.3323,0.6330,0.6954,0.3007,0.3631,0.0634
38,Cgh,0.2670,0.5612,0.6594,0.2943,0.3924,0.0991
39,Sq,0.3706,0.7773,0.8617,0.4067,0.4911,0.0854
40,S,0.3105,0.6108,0.6676,0.3002,0.3571,0.0579
41,Ch,0.3322,0.6646,0.7486,0.3324,0.4163,0.0850
42,K,0.3179,0.7126,0.8029,0.3947,0.4850,0.0913
43,Sq,0.3918,0.7621,0.8086,0.3703,0.4168,0.0474
48,Ch,0.2279,0.5108,0.6070,0.2829,0.3791,0.0971
49,Ch,0.2468,0.5048,0.5661,0.2579,0.3193,0.0623
50,Ch,0.2526,0.5295,0.6259,0.2769,0.3732,0.0974
51,Cgh,0.2805,0.6199,0.7268,0.3394,0.4462,0.1079
52,C,0.2348,0.5754,0.7865,0.3406,0.5517,0.2121
54,Cgh,0.2673,0.5299,0.5992,0.2626,0.3318,0.0703
55,Xk,0.2965,0.6354,0.8106,0.3388,0.5141,0.1762
56,Xk,0.2607,0.5643,0.6926,0.3036,0.4318,0.1292
57,S,0.3449,0.6289,0.6887,0.2840,0.3438,0.0608
58,Ch,0.2365,0.4959,0.5696,0.2594,0.3331,0.0747
61,S,0.3398,0.6272,0.6832,0.2873,0.3433,0.0570
63,S,0.3643,0.7063,0.7722,0.3420,0.4079,0.0669
64,Xe,0.2483,0.5402,0.6389,0.2920,0.3906,0.0997
65,Xk,0.2692,0.5750,0.7444,0.3058,0.4752,0.1704
66,Ch,0.2542,0.5435,0.6690,0.2893,0.4148,0.1265
67,S,0.3582,0.6411,0.7002,0.2829,0.3420,0.0601
69,Xk,0.3014,0.6496,0.8269,0.3482,0.5255,0.1782
70,Cgh,0.2794,0.5688,0.6608,0.2894,0.3814,0.0930
73,S,0.3714,0.6522,0.7039,0.2808,0.3326,0.0528
76,C,0.2597,0.6219,0.8235,0.3622,0.5638,0.2026
77,Xe,0.2512,0.5718,0.7086,0.3206,0.4573,0.1377
78,Ch,0.2464,0.5497,0.6815,0.3033,0.4351,0.1328
82,S,0.3260,0.5759,0.6077,0.2499,0.2817,0.0328
84,Ch,0.2500,0.5416,0.6331,0.2916,0.3831,0.0926
85,C,0.2335,0.5567,0.7257,0.3233,0.4922,0.1699
87,X,0.2824,0.6196,0.8122,0.3372,0.5298,0.1936
90,C,0.2554,0.6024,0.8020,0.3470,0.5466,0.2006
92,Xk,0.2857,0.5840,0.7113,0.2982,0.4255,0.1283
93,C,0.1949,0.4725,0.6068,0.2776,0.4119,0.1353
96,T,0.2800,0.6169,0.7652,0.3370,0.4852,0.1493
97,Xc,0.2381,0.5186,0.6198,0.2805,0.3817,0.1021
