#TaxClass,Nobj,YmJ,YmJstd,YmH,YmHstd,YmK,YmKstd,JmH,JmHstd,JmK,JmKstd,HmK,HmKstd
A,6,0.4842,0.0418,1.2490,0.1595,1.3817,0.1767,0.7648,0.1389,0.8975,0.1660,0.1337,0.0562
B,4,0.1773,0.0212,0.3907,0.0572,0.4397,0.0826,0.2135,0.0409,0.2624,0.0665,0.0500,0.0262
C,13,0.2316,0.0207,0.5516,0.0456,0.7241,0.0712,0.3201,0.0261,0.4926,0.0523,0.1735,0.0296
Cb,3,0.2545,0.0101,0.5723,0.0139,0.7381,0.0362,0.3178,0.0061,0.4837,0.0261,0.1669,0.0239
Cg,1,0.2488,0.0000,0.5684,0.0000,0.7097,0.0000,0.3195,0.0000,0.4609,0.0000,0.1423,0.0000
Cgh,10,0.2668,0.0174,0.5582,0.0489,0.6513,0.0498,0.2914,0.0340,0.3844,0.0368,0.0941,0.0140
Ch,18,0.2556,0.0229,0.5479,0.0448,0.6487,0.0626,0.2923,0.0265,0.3932,0.0494,0.1019,0.0264
D,16,0.3518,0.0280,0.7478,0.0702,0.9444,0.0980,0.3960,0.0455,0.5926,0.0763,0.1976,0.0392
K,16,0.2918,0.0273,0.6236,0.0673,0.7126,0.0819,0.3318,0.0444,0.4208,0.0613,0.0900,0.0248
L,22,0.2802,0.0305,0.5634,0.0641,0.6023,0.0969,0.2832,0.0376,0.3221,0.0800,0.0399,0.0532
O,1,0.6058,0.0000,1.0032,0.0000,0.8926,0.0000,0.3974,0.0000,0.2868,0.0000,-0.1096,0.0000
Q,8,0.4027,0.0406,0.7874,0.0488,0.8487,0.0814,0.3847,0.0322,0.4461,0.0561,0.0623,0.0356
R,1,0.5073,0.0000,0.8671,0.0000,0.9655,0.0000,0.3597,0.0000,0.4582,0.0000,0.0995,0.0000
S,144,0.3665,0.0312,0.6885,0.0821,0.7452,0.0915,0.3220,0.0558,0.3787,0.0656,0.0577,0.0278
Sa,2,0.3810,0.0694,0.9788,0.0746,1.1340,0.0113,0.5978,0.0052,0.7530,0.0808,0.1562,0.0860
Sq,29,0.3877,0.0479,0.7649,0.1012,0.8282,0.1086,0.3772,0.0578,0.4404,0.0702,0.0643,0.0271
Sr,22,0.4045,0.0398,0.7157,0.0822,0.7634,0.0981,0.3112,0.0494,0.3589,0.0764,0.0487,0.0399
Sv,2,0.4034,0.0070,0.6718,0.0153,0.6976,0.0381,0.2683,0.0083,0.2941,0.0310,0.0268,0.0228
T,4,0.2840,0.0055,0.6166,0.0092,0.7730,0.0130,0.3327,0.0093,0.4889,0.0150,0.1573,0.0105
V,17,0.6485,0.0980,0.7307,0.0975,0.6833,0.0937,0.0822,0.0974,0.0348,0.1148,-0.0464,0.0512
X,4,0.2802,0.0056,0.6199,0.0185,0.7923,0.0453,0.3396,0.0235,0.5121,0.0496,0.1735,0.0282
Xc,3,0.2513,0.0153,0.5364,0.0301,0.6470,0.0702,0.2851,0.0162,0.3957,0.0573,0.1115,0.0412
Xe,7,0.2566,0.0182,0.5498,0.0348,0.6621,0.0616,0.2932,0.0234,0.4055,0.0488,0.1133,0.0277
Xk,18,0.2801,0.0195,0.5872,0.0519,0.7152,0.0885,0.3070,0.0351,0.4350,0.0726,0.1290,0.0404
