#MainDesig,EquivDesig,Class,YmJ,YmJerr,YmJt_min,JmK,JmKerr,JmKt_min,HmK,HmKerr,HmKt_min,TaxClassKNN,KNNMCProb,TaxClassProb,ProbProb,TaxClassFin
267182,267182|2000 QX57,MBMMB,0.377714,0.067422709156485,5.3577359975316,0.36567,0.17260366047683,14.94698400842,0.1392295,0.17810754484721,9.3083400093019,S,0.591786,S,0.37,U
72748,72748|2001 FR126,MBOMB,0.408367333333,0.043618485472204,5.3537270484958,0.765901,0.074160863178558,14.085492471932,0.197656333333,0.074891271429171,8.4302755119279,Ad,0.584385,Ad,0.94,Ad
99864,99864|2002 OF26|2000 EC183,MBOMB,0.390856,0.029254569414452,9.7775280091446,0.5886905,0.051844398963389,17.064179994632,0.1736355,0.056979770536898,11.346624002326,Ds,0.776282,Ds,0.54,Ds
271187,271187|2003 SJ304,MBOMB,0.282541,0.040427566640846,5.2330319909379,0.30069125,0.076962591574576,11.580983995227,0.00471125,0.082716772128225,5.7508559944108,Kl,0.586059,Kl,0.75,Kl
18023,18023|1999 JQ129|1991 RJ34|1998 FM128,MBMMB,0.264961,0.012842826295251,5.4537479951978,0.4167665,0.030451329613828,11.754036003258,0.1030275,0.033928927569259,6.0558840015437,Cgx,0.578134,Xt,0.36,U
151782,151782|2003 ES53,MBMMB,0.382766,0.075254530048031,5.414796002442,0.664589,0.14187387004837,11.882447996177,0.420125,0.16434812829935,6.0494040045887,Ds,0.836426,Ad,0.74,U
5587,5587|1990 SB|1990 UV12,NEAAmor,0.442429,0.040683553403065,7.417835999513,0.4184085,0.092605341306536,12.177864003461,0.0734025,0.099170640748661,5.838984005386,S,0.935238,S,0.88,S
220409,220409|2003 SQ76,MBOMB,0.365835,0.028849166270449,8.2233359932434,0.552372,0.059057817270451,12.657024005894,0.2194365,0.063967952159656,5.842872003559,Ds,0.867164,Ds,0.75,Ds
160159,160159|2001 SU79,MBIMB,0.440427,0.046131578059395,8.2233359932434,0.5198715,0.096249592509527,12.657024005894,0.3051745,0.10565462388249,5.842872003559,Ds,0.696724,Ad,0.54,U
30930,30930|1993 UF|1999 CE37,MBIMB,0.361031,0.013101527181974,5.2369920001365,0.3083495,0.027958951388598,11.33168399334,0.032557000000001,0.029547204013239,5.6672999972943,S,0.999172,S,0.89,S
63095,63095|2000 WS142|1998 FM123,MBMMB,0.3481615,0.03840443939182,5.2217279991601,0.303562,0.093712786388784,11.406239995267,0.075148500000001,0.10159970396241,5.6221919995733,S,0.795421,S,0.49,S
187862,187862|2000 LW14|2001 YN68,MBMMB,0.304706,0.026824789766184,5.2217279991601,0.077237999999998,0.078940475118914,11.406239995267,-0.100457,0.084103483532193,5.6221919995733,Kl,0.67659,Kl,0.85,Kl
423694,423694|2006 AM31,MBMMB,0.558745,0.077104016866827,5.3003520006314,0.3616305,0.16714587124126,11.095092004398,0.013367500000001,0.17554747588687,5.6533320061862,S,0.635822,V,0.65,U
316667,316667|1995 FG4|2002 PL4,MBOMB,0.425198,0.16543561831117,5.2982640056871,1.068501,0.2798836792991,12.928571999073,0.8440725,0.31216458973953,7.4375280027743,Ds,0.552327,Ad,0.88,U
11847,11847|1988 BY2|1994 PF7|Winckelmann,MBMMB,0.291075,0.033192513063943,5.9611680032685,0.71187,0.047080918337475,6.1861319979653,0.213269,0.050599174506606,6.3942840008531,Ds,0.875076,Ad,0.83,U
27443,27443|2000 FH49|1991 RV6|1999 CO19,MBOMB,0.1366555,0.061020696204239,5.9611680032685,0.026752500000001,0.22325545205661,8.1582840008195,-0.288724,0.22892511481104,4.4221319979988,Bk,0.544872,Bk,0.66,U
11739,11739|1998 SG27|1976 YA2|1984 YO4|1998 QC65|Baton Rouge,MBHilda,0.27948,0.075178099719932,6.883847998688,0.449825,0.12780699119962,6.1416360049043,-0.0219795,0.1455218340774,6.4884599950165,C,0.254602,Kl,0.36,U
51328,51328|2000 LO19,MBOMB,0.3719495,0.03825823937729,6.883847998688,0.5022305,0.059593945239848,6.1416360049043,0.2115645,0.071256936614971,6.4884599950165,Ds,0.64893,Ds,0.68,Ds
97134,97134|1999 VG115|2001 BF76,MBMMB,0.3156345,0.10562016674267,6.9058079982642,0.66645,0.15744993821926,6.1985159979668,-0.010303500000003,0.17610506726952,6.4593000034802,Ds,0.392494,Ad,0.64,U
66411,66411|1999 NB7|2000 RQ60,MBMMB,0.38558,0.078357239895239,7.8494760068133,0.4585925,0.10133400064391,6.2628479953855,0.1137775,0.11854942831157,6.4366199984215,S,0.618416,S,0.39,S
20120,20120|1995 WB5|1998 KC66|Ryugatake,MBMMB,0.5153085,0.10950263575595,6.9264359981753,0.1672575,0.20219827472248,6.2628479953855,-0.252677,0.244736760266,5.4750600003172,V,0.6325,V,0.83,U
29450,29450|1997 QZ2|1985 DJ1|1990 RZ2|Tomohiroohno,MBIMB,0.6357055,0.017473978260545,33.519959998084,-0.049468000000001,0.041503996376855,7.1063639956992,-0.066117000000002,0.044853461232106,7.338600003859,V,1.0,V,1.00,V
12006,12006|1996 OO|Hruschka,MBHilda,0.3548045,0.023694212209946,33.537275993731,0.466543,0.042349378935824,7.1527679928113,0.082541499999998,0.045458682262028,7.3803240072448,S,0.774015,S,0.75,S
29490,29490|1997 WX|Myslbek,MBIMB,0.3279885,0.026686238049789,5.0547959958203,0.4035375,0.067620611576649,5.3016119997483,0.066625999999999,0.070976786053611,5.5018800054677,S,0.615913,Kl,0.38,U
5222,5222|1980 TL13|1978 LP|1989 TG1|Ioffe,MBMMB,0.306554,0.007473196354305,33.537491995376,0.2524885,0.014307425773004,7.25947199855,0.030775,0.016772037353882,7.9730640049092,S,0.900631,Kl,0.96,U
7010,7010|1987 QH3|1982 DG|1984 YD1|1987 SE2|Locke,MBIMB,0.350581,0.042481603068269,33.537491995376,0.4383935,0.027361424898934,6.1277759936638,0.15330175,0.068175341702022,17.930448000552,S,0.421773,S,0.38,S
19518,19518|1998 VZ13|1954 TE1|1981 US13|1988 RG3|Moulding,MBIMB,0.70634775,0.034495569288759,33.537491995376,-0.038307333333002,0.092191054036953,6.5776320034638,-0.2219119166665,0.092941520028688,7.9730640049092,V,0.99999,V,1.00,V
32357,32357|2000 QR124|1978 UV5|1999 JY24,MBIMB,-0.06110275,0.072471479779548,34.077365276171,0.4439015,0.033108068299132,8.251380007714,0.017994499999997,0.19363515082495,5.6346120103262,C,0.579284,Bk,0.39,U
76813,76813|2000 QC164|1994 NY7,MBOMB,0.193041,0.025713782505692,5.3195039997809,0.455385,0.052236823762074,5.7825360051356,0.1123705,0.056610194989507,8.060975993285,C,0.750121,C,0.53,C
82807,82807|2001 QK32|1995 OK7,MBOMB,0.140236,0.35208149906094,6.249455998186,0.731844,0.26579451734423,8.9822160091717,,,,C,0.381612,Ad,0.41,U
23104,23104|1999 XK182|1998 MK32,MBMMB,0.25576825,0.035418171346076,6.2452800082974,0.4786795,0.07145921522274,5.4342360037845,-0.004452499999999,0.08410810087768,5.8325759985019,C,0.434484,Kl,0.41,U
51801,51801|2001 NZ2,MBOMB,0.3732935,0.077305526071071,6.739343998488,0.2753325,0.31641015145101,7.9522560036276,0.0713385,0.32973153435029,6.0214680014178,S,0.387172,Ad,0.30,U
