MainDesig,TaxClass,MCProb
267182,S,0.591786
72748,Ad,0.584385
99864,Ds,0.776282
271187,Kl,0.586059
18023,Cgx,0.578134
151782,Ds,0.836426
5587,S,0.935238
220409,Ds,0.867164
160159,Ds,0.696724
30930,S,0.999172
63095,S,0.795421
187862,Kl,0.67659
423694,S,0.635822
316667,Ds,0.552327
11847,Ds,0.875076
27443,Bk,0.544872
11739,C,0.254602
51328,Ds,0.64893
97134,Ds,0.392494
66411,S,0.618416
20120,V,0.6325
29450,V,1.0
12006,S,0.774015
29490,S,0.615913
5222,S,0.900631
7010,S,0.421773
19518,V,0.99999
32357,C,0.579284
76813,C,0.750121
82807,C,0.381612
23104,C,0.434484
51801,S,0.387172
91493,S,0.981728
9376,S,0.65351
29663,Ad,0.569115
96276,S,0.402619
145518,Ds,0.79401
122576,S,0.821791
35168,S,0.916167
113067,S,0.38433
13929,S,0.93265
63733,Ds,0.430398
83676,C,0.667378
51098,S,0.349798
69542,Ad,0.511388
50536,C,0.415679
21694,Ds,0.559612
40645,S,0.919472
9402,C,0.518801
39311,V,0.541503
58494,Ds,0.454473
12155,S,0.840743
39865,Ad,0.531785
139625,S,0.465904
8821,Ds,0.850028
113453,V,0.482056
70711,S,0.713132
13879,S,0.71165
144025,Ad,0.776265
60062,C,0.536617
102476,Ds,0.520889
36147,C,0.460989
113956,S,0.723239
175385,V,0.498841
100125,Kl,0.579391
100264,Ad,0.387906
247874,C,0.564997
210040,Ds,0.56737
50491,Ds,0.702266
9444,C,0.547105
118884,Ds,0.4098
57254,Ds,0.401205
38305,Ds,0.558666
63008,Ds,0.344445
448503,S,0.372324
67402,S,0.408399
33199,Ds,0.611443
24397,Kl,0.691529
208577,S,0.311529
86100,C,0.495307
48788,C,0.349258
104356,C,0.434704
259492,S,0.683265
251398,S,0.960114
116354,Ds,0.603103
76730,Ad,0.450823
107328,S,0.725165
16559,S,0.995704
14797,Kl,0.422565
26296,S,0.844579
52940,Ad,0.530564
73320,Ad,0.52601
52845,S,0.80232
8375,Ds,0.994505
8998,Kl,0.35702
18774,Cgx,0.803953
15914,S,0.566683
19105,S,0.569667
4797,S,0.687692
14292,Ds,0.752338
33038,C,0.651186
44247,C,0.512009
98329,S,0.603427
167715,Ds,0.351609
17167,C,0.838088
10615,S,0.822919
50922,S,0.718573
29019,Ds,0.562393
239642,C,0.447885
88460,Ds,0.579466
73440,Ds,0.664211
7125,Ds,0.439982
3338,S,0.999959
24208,Ds,0.313093
11285,S,0.988
47559,Cgx,0.501472
203319,V,0.431554
18057,Ad,0.515614
69761,Ds,0.721895
50576,V,0.7311
40904,V,0.749041
66394,Ds,0.38391
1291,Kl,0.40406
92969,V,0.466922
376854,Ad,0.603487
189435,Ds,0.67779
3505,Kl,0.533711
95018,Ad,0.48338
167589,Ad,0.817382
46852,S,0.83534
6019,Kl,0.983058
120138,C,0.440042
140961,S,0.384724
34413,Bk,0.643419
138779,C,0.546695
81265,V,0.79264
139707,S,0.496179
303905,Bk,0.401109
85616,Kl,0.277163
79261,S,0.5865
437833,Ds,0.526094
75366,Kl,0.32841
213271,C,0.742895
1194,Kl,0.994855
76256,S,0.470727
28298,S,0.599031
146756,Ds,0.564595
63998,C,0.406021
132433,V,0.995763
181181,S,0.463413
83138,Ds,0.288883
78721,Kl,0.519747
5433,S,0.997703
10288,Ds,0.398296
115924,Ds,0.553323
120447,Ds,0.320269
28639,C,0.512976
2374,Kl,0.65976
99034,Ds,0.390253
45150,S,0.983165
12116,Ds,0.982006
22787,Ds,0.912733
13444,Ad,0.528577
67059,S,0.886487
6382,Ds,0.977136
18093,S,0.999978
6485,S,0.903897
13040,Ad,0.714664
96682,S,0.573656
235392,Kl,0.731819
94143,Ad,0.604849
160033,Ad,0.470787
68530,S,0.478897
6161,C,0.977553
89947,Ds,0.953264
290385,Ds,0.989498
48207,Bk,0.420424
180305,Ds,0.364617
247219,S,0.727316
252693,V,0.960175
247013,C,0.350451
181578,C,0.379549
105530,Bk,0.441156
232005,C,0.339186
117026,Ds,0.489805
17840,Ds,0.710841
209384,Ad,0.668859
388269,Ds,0.483363
59903,Ds,0.599908
2002 US74,C,0.457996
28477,Kl,0.349791
82035,Kl,0.560543
70360,Ds,0.622072
87944,Bk,0.34969
105501,Ad,0.654512
111976,V,0.998188
71773,S,0.587279
114941,S,0.497306
45893,V,1.0
19939,S,0.84953
117796,Ad,0.843647
9033,S,0.999948
69148,S,0.264448
26222,Bk,0.49423
41442,Ds,0.81042
77859,S,0.340067
13273,Ds,0.775725
59156,V,0.356503
29848,Ds,0.394578
4942,Kl,0.622324
6648,S,0.953725
74519,Ds,0.8438
1034,S,1.0
30770,Ad,0.50147
3890,C,0.809752
94680,V,0.999996
56579,S,0.745118
8137,Ds,0.521078
1430,S,1.0
17059,Ad,0.496036
56013,Ds,0.593611
49648,C,0.478166
83105,Ad,0.64156
61986,V,0.994789
83717,S,0.21111
27040,S,0.9994
29845,S,0.644427
