#MainDesig,ProbClass,ProbProb
267182,S,0.37
72748,Ad,0.94
99864,D,0.54
271187,Kl,0.75
18023,Xt,0.36
151782,Ad,0.74
5587,S,0.88
220409,D,0.75
160159,Ad,0.54
30930,S,0.89
63095,S,0.49
187862,Kl,0.85
423694,V,0.65
316667,Ad,0.88
11847,Ad,0.83
27443,Bk,0.66
11739,Kl,0.36
51328,D,0.68
97134,Ad,0.64
66411,S,0.39
20120,V,0.83
29450,V,1.00
12006,S,0.75
29490,Kl,0.38
5222,Kl,0.96
7010,S,0.38
19518,V,1.00
32357,Bk,0.39
76813,C,0.53
82807,Ad,0.41
23104,Kl,0.41
51801,Ad,0.30
91493,S,0.97
9376,S,0.61
29663,Ad,0.78
96276,Kl,0.39
145518,Ad,0.98
122576,S,0.78
35168,S,0.89
113067,Kl,0.26
13929,S,0.83
63733,Ad,0.65
83676,C,0.27
51098,Ad,0.24
69542,Ad,0.58
50536,Kl,0.24
21694,Ad,0.85
40645,S,0.53
9402,C,0.33
39311,Kl,0.32
58494,D,0.32
12155,Kl,0.44
39865,Ad,0.81
139625,S,0.41
8821,D,0.57
113453,V,0.67
70711,S,0.54
13879,S,0.65
144025,Ad,0.98
60062,Cgx,0.32
102476,Ad,0.72
36147,Ad,0.24
113956,S,0.66
175385,V,0.47
100125,Kl,0.75
100264,Ad,0.69
247874,Bk,0.46
210040,Ad,0.51
50491,Ad,0.58
9444,Bk,0.37
118884,Ad,0.67
57254,Ad,0.32
38305,D,0.54
63008,Ad,0.49
448503,Ad,0.38
67402,S,0.22
33199,Ad,0.70
24397,Kl,0.71
208577,Ad,0.52
86100,Bk,0.27
48788,Kl,0.30
104356,Kl,0.28
259492,S,0.46
251398,S,0.63
116354,Ad,0.82
76730,Ad,0.63
107328,S,0.57
16559,S,0.98
14797,Kl,0.47
26296,V,0.63
52940,Ad,0.91
73320,Ad,0.84
52845,Ad,0.47
8375,D,0.64
8998,Kl,0.33
18774,Cgx,0.53
15914,S,0.41
19105,V,0.49
4797,S,0.64
14292,Ad,0.86
33038,Ad,0.43
44247,Kl,0.16
98329,S,0.42
167715,Ad,0.33
17167,Bk,0.54
10615,S,0.86
50922,S,0.74
29019,Ad,0.83
239642,Ad,0.57
88460,Ad,0.82
73440,Ad,0.63
7125,Ad,0.93
3338,S,0.86
24208,Kl,0.30
11285,S,0.91
47559,Kl,0.43
203319,V,0.84
18057,Ad,0.95
69761,Ad,0.76
50576,V,0.97
40904,V,0.70
66394,Ad,0.53
1291,Kl,0.55
92969,V,0.70
376854,Ad,0.65
189435,Ad,0.79
3505,Kl,0.52
95018,Ad,0.36
167589,Ad,0.84
46852,S,0.86
6019,Kl,0.53
120138,Kl,0.27
140961,Kl,0.26
34413,Bk,0.50
138779,Kl,0.21
81265,V,0.76
139707,Ad,0.36
303905,Kl,0.50
85616,Kl,0.51
79261,S,0.38
437833,Ad,0.76
